"filename", "language", "JSON", "JavaScript", "XML", "CSS", "Markdown", "HTML", "JSON with Comments", "comment", "blank", "total"
"f:\project\ReadIt\front\src\pages\main\topic.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"f:\project\ReadIt\front\src\pages\post\postContainer.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"f:\project\ReadIt\front\src\pages\post\postEdit.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"f:\project\ReadIt\front\src\pages\post\postNew.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 4, 10, 47
"f:\project\ReadIt\front\src\pages\post\postView.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"f:\project\ReadIt\front\src\pages\user\userContainer.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"f:\project\ReadIt\front\src\pages\user\userLogin.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 4, 9, 45
"f:\project\ReadIt\front\src\pages\user\userPage.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"f:\project\ReadIt\front\src\pages\user\userSettings.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"f:\project\ReadIt\front\src\pages\user\userSignin.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 3, 8, 53
"f:\project\ReadIt\front\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"f:\project\ReadIt\front\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"f:\project\ReadIt\readit-workspace.code-workspace", "JSON with Comments", 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"f:\project\ReadIt\readit_wkspc.code-workspace", "JSON with Comments", 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"Total", "-", 36992, 1009, 1, 34, 323, 20, 28, 88, 322, 38817
